取樣日期,經度,緯度,深度(M),銫-137活度,銫-137單位,氚活度,氚單位,類別,地點編號,地點,取樣單位/人,備註
106/03/14,"22°20'18.03""","120°53'55.88""",,－,貝克/公斤-乾重,,,沉積物,R-9,大武漁港,偵測中心,岸沙
106/03/14,"23°06'25.04""","121°23'21.34""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
106/03/15,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
106/03/21,"24°50'46.60""","120°55'25.45""",,－,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
106/03/22,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
106/03/23,"23°27'02.55""","120°08'15.46""",,－,貝克/公斤-乾重,,,沉積物,R-2,東石漁港,偵測中心,岸沙
106/03/31,"22°37'28.76""","120°15'48.20""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
106/04/06,"24°34'55.12""","121°52'06.06""",,－,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
106/04/07,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
106/08/29,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
106/08/29,"23°27'02.55""","120°08'15.46""",,－,貝克/公斤-乾重,,,沉積物,R-2,東石漁港,偵測中心,岸沙
106/08/30,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
106/08/30,"24°50'46.60""","120°55'25.45""",,－,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
106/08/31,"23°06'25.04""","121°23'21.34""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
106/09/01,"22°20'18.03""","120°53'55.88""",,－,貝克/公斤-乾重,,,沉積物,R-9,大武漁港,偵測中心,岸沙
