站名：潮境資料浮標站
資料時間：202109
資料格式：觀測時間　YYYYMMDDHH，
　　　　　最大波高　#### (公分)　對應週期　##.# (秒)　尖峰週期　##.# (秒)，
　　　　　示性波高　#### (公分)　平均週期　##.# (秒)　主波向　### (度)，
　　　　　三秒陣風　##.# (公尺/秒)　平均風速　##.# (公尺/秒)　平均風向　### (度)，
　　　　　測站氣壓　####.# (百帕)　平均氣溫　##.# (度)　表面水溫　##.# (度)
          表層海流流速　##.# (公分/秒)　表層流向　### (度-去向)
##########,  ####,  ##.#,  ##.#,  ####,  ##.#,   ###,  ##.#,  ##.#,   ###,####.#,  ##.#,  ##.#,  ##.#,   ###
************************************************************************************************************

2021090100,      ,      ,   5.5,    59,   4.6,    78,   5.4,   3.6,   137,1010.8,  27.9,  27.4,  21.1,    37
2021090101,      ,      ,   4.5,    50,   4.2,    67,   6.1,   3.5,   127,1010.6,  27.8,  27.4,   8.3,     2
2021090102,      ,      ,   5.4,    51,   4.3,    56,   6.2,   3.6,   158,1010.2,  27.8,  27.4,   4.4,     1
2021090103,      ,      ,   4.8,    47,   4.2,    67,   6.4,   4.1,   157,1009.8,  27.7,  27.5,   2.6,   347
2021090104,      ,      ,   4.3,    44,   4.2,    90,   4.8,   2.0,   183,1009.0,  27.5,  27.5,   0.3,   108
2021090105,      ,      ,   4.4,    40,   4.2,    90,   8.1,   3.8,   176,1010.0,  27.5,  27.5,   2.6,   296
2021090106,      ,      ,   6.5,    37,   4.5,    78,   6.2,   3.1,   171,1010.1,  27.7,  27.5,  10.9,    37
2021090107,      ,      ,   6.2,    47,   4.6,    67,   3.4,   2.4,   159,1010.2,  28.1,  27.5,  11.6,    37
2021090108,      ,      ,   4.7,    39,   4.5,    78,   4.6,   2.5,   133,1010.6,  29.1,  27.6,  16.7,    44
2021090109,      ,      ,   6.4,    38,   4.7,    67,   4.3,   3.1,   121,1010.8,  29.2,  27.7,  11.4,    31
2021090110,      ,      ,   6.5,    34,   4.2,    67,   4.5,   3.0,   128,1010.4,  29.5,  27.8,  16.9,    25
2021090111,      ,      ,   5.2,    42,   4.3,    67,   6.3,   3.6,   148,1010.2,  29.5,  27.8,  14.9,    35
2021090112,      ,      ,   6.0,    42,   4.3,   101,   6.6,   4.5,   164,1009.8,  30.1,  27.7,  11.7,    45
2021090113,      ,      ,   6.5,    38,   4.0,   101,   8.2,   5.2,   142,1009.3,  29.9,  27.9,   2.5,   297
2021090114,      ,      ,   5.1,    33,   3.9,    90,   9.0,   4.8,   144,1008.6,  29.8,  28.0,  14.3,    15
2021090115,      ,      ,   5.9,    32,   3.8,    78,   9.3,   5.3,   141,1008.0,  30.0,  28.0,   5.0,    13
2021090116,      ,      ,   6.2,    34,   4.0,    90,   9.1,   6.1,   147,1008.1,  29.5,  28.0,   8.3,    69
2021090117,      ,      ,   6.0,    32,   3.9,    90,   9.0,   5.2,   164,1008.2,  29.4,  28.0,   4.0,    48
2021090118,      ,      ,   5.7,    34,   4.4,   101,   8.8,   5.8,   151,1008.8,  28.9,  28.0,   2.4,   218
2021090119,      ,      ,   5.5,    36,   4.3,   101,   9.9,   6.8,   146,1008.5,  28.3,  27.9,   4.5,    84
2021090120,      ,      ,   5.7,    37,   4.2,    90,   8.1,   4.6,   123,1009.5,  28.1,  27.9,   6.6,    64
2021090121,      ,      ,   5.3,    31,   4.0,    78,   9.0,   3.9,   134,1010.6,  28.2,  27.8,   8.2,   358
2021090122,      ,      ,   6.0,    39,   4.1,   101,   6.3,   3.5,   155,1010.7,  28.1,  27.7,   9.8,    17
2021090123,      ,      ,   5.8,    41,   4.4,    78,   5.0,   2.1,   170,1010.4,  27.9,  27.6,   7.0,    26
2021090200,      ,      ,   6.1,    38,   4.3,    90,   5.2,   2.3,   187,1010.4,  27.6,  27.7,   8.7,    36
2021090201,      ,      ,   5.0,    34,   4.2,    90,   5.1,   2.8,   185,1010.2,  27.6,  27.7,   8.4,    44
2021090202,      ,      ,   5.1,    32,   4.0,    56,   4.1,   2.3,   170,1008.9,  27.4,  27.6,  16.2,     4
2021090203,      ,      ,   5.6,    31,   4.0,    67,   4.6,   3.3,   170,1009.0,  27.4,  27.7,   9.4,   316
2021090204,      ,      ,   6.1,    26,   3.9,    67,   1.8,   0.5,   226,1008.9,  26.9,  27.7,  13.9,     7
2021090205,      ,      ,   5.7,    22,   3.8,    78,   2.4,   1.9,   196,1008.6,  26.9,  27.7,   5.3,    29
2021090206,      ,      ,   5.2,    26,   3.9,    90,   1.5,   0.6,   219,1009.1,  26.2,  27.7,   2.3,   347
2021090207,      ,      ,   4.0,    21,   4.0,    67,   2.2,   0.9,   202,1010.0,  27.2,  27.8,   2.9,    90
2021090208,      ,      ,   4.5,    21,   4.3,    78,   1.5,   0.5,   141,1009.2,  28.4,  27.9,  11.1,    49
2021090209,      ,      ,   5.1,    24,   4.0,    78,   2.5,   1.7,    52,1009.8,  28.6,  28.1,  14.1,    41
2021090210,      ,      ,   6.4,    22,   4.3,   112,   3.2,   2.4,    54,1009.9,  29.0,  28.3,  10.0,    27
2021090211,      ,      ,   4.0,    26,   4.2,   101,   4.0,   3.2,    88,1009.7,  28.8,  28.3,   8.1,    14
2021090212,      ,      ,   4.5,    23,   4.2,    45,   2.6,   1.8,    68,1009.4,  28.9,  28.3,  19.2,     3
2021090213,      ,      ,   6.6,    23,   4.1,    56,   2.8,   2.0,    37,1008.4,  29.2,  28.3,  19.3,     5
2021090214,      ,      ,   3.1,    23,   3.6,    45,   4.6,   3.8,    58,1008.3,  28.5,  28.4,  23.0,     7
2021090215,      ,      ,   4.9,    22,   3.8,    22,   5.2,   4.2,    65,1007.2,  28.4,  28.9,  17.1,   318
2021090216,      ,      ,   5.3,    19,   3.7,    67,   5.4,   4.3,    79,1006.3,  28.4,  28.8,  14.5,   335
2021090217,      ,      ,   6.4,    15,   4.0,    56,   5.3,   3.4,   159,1006.8,  29.0,  28.5,   7.2,   269
2021090218,      ,      ,   6.0,    15,   4.2,    78,   4.6,   2.7,   169,1007.0,  28.4,  28.5,  11.8,   268
2021090219,      ,      ,   5.6,    13,   4.4,    90,   6.6,   4.2,   177,1007.4,  28.0,  28.9,  23.8,   249
2021090220,      ,      ,   6.1,    17,   4.0,    90,   8.1,   5.7,   175,1007.6,  27.8,  28.9,  14.6,   235
2021090221,      ,      ,   6.2,    13,   4.3,   112,   8.3,   6.0,   187,1008.3,  28.0,  29.0,   2.6,   187
2021090222,      ,      ,   6.0,    14,   4.2,    90,   8.8,   6.1,   192,1007.9,  27.5,  28.9,   6.7,    73
2021090223,      ,      ,   6.0,    13,   4.9,    90,   7.2,   5.0,   180,1008.0,  27.5,  28.9,   9.1,    77
2021090300,      ,      ,   5.5,    16,   4.7,    90,   3.7,   2.0,   233,1008.1,  27.6,  28.8,   6.8,    58
2021090301,      ,      ,   5.3,    17,   4.8,    78,   2.1,   1.3,   265,1007.9,  26.9,  28.8,   8.7,   106
2021090302,      ,      ,   5.4,    20,   4.4,   101,   4.7,   2.7,   232,1006.9,  26.7,  28.7,   8.8,    96
2021090303,      ,      ,   3.2,    21,   4.1,    56,   5.2,   3.4,   221,1006.9,  26.8,  28.6,  11.6,    45
2021090304,      ,      ,   5.0,    18,   4.5,    90,   6.7,   4.6,   247,1006.1,  27.2,  28.5,   8.9,    44
2021090305,      ,      ,   6.0,    18,   4.5,    67,   4.4,   3.0,   234,1006.4,  27.1,  28.5,   8.4,    45
